Key,English,German
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,"Du kannst einen gewünschten Artikel kaufen, indem du ihn in dein Inventar ziehst. Der Preis des Artikels wird angezeigt, und wenn du den Preis akzeptierst wird ein Bestätigungsfenster angezeigt. Akzeptiere, um den Handel abzuschließen."
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.","Wenn du Gegenstände verkaufen willst, ziehe diese einfach aus deinem Inventar in das NPC-Handelsfenster."
CLIENT_HELP_INC_000050,Player Trading,Direkter Handel
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.","Wenn du mit einem anderen Spieler handeln möchtest, halte die ALT-Taste gedrückt und linksklicke auf den Spieler. Alternativ kannst du auch einfach mit den Spieler rechtsklicken. Ein Menü erscheint, wähle ""Handeln"" aus und warte, bis der andere Spieler dem Handel zustimmt."
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.","Sobald sich das Handelsfenster öffnet, kannst du Gegenstände oder Penya in das Fenster ziehen. Stelle sicher, dass alles so ist, wie du es möchtest, #cbevor#nc du auf OK und AKZEPTIEREN klickst. Lasse niemals zu, dass jemand Gegenstände ausleiht, da er möglicherweise nicht zurückgibt, was du ihm verliehen hast. Stelle sicher, dass die richtigen Gegenstände und die richtige Menge Penya verhandelt werden, bevor du einen Handel durchführst. Handeln erfolgt auf eigene Gefahr, sei also bitte vorsichtig. Wenn du etwas verlierst, den falschen Gegenstand oder den falschen Penya-Betrag erhälst, kannst du nichts tun, um die verlorenen Gegenstände oder das verlorene Geld wiederzubekommen. Wenn du dich zu irgendeinem Zeitpunkt mit einem Handel unwohl fühlst, klicke auf die Schaltfläche ABBRECHEN, um den Handel zu beenden."
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,"Sobald du Gegenstände in ein Handelsfenster gestellt und OK und AKZEPTIEREN ausgewählt hast, wird der Handel durchgeführt und die Gegenstände, die du eingetauscht hast, befinden sich in deinem Inventar. Wenn dein Inventar voll ist, wird der Handel abgebrochen."
CLIENT_HELP_INC_000054,Quests,Quests
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.","NPCs mit einem gelben '!' über ihren Köpfen haben eine Quest für dich, die du durchführen kannst. Wähle den NPC und dann Quests aus. Dies zeigt dir alle verfügbaren Quests und das erforderliche Level, um die Quest anzunehmen."
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,"Schließe so viele Quests wie möglich ab, denn sie bringen dir viele Belohnungen zusammen mit wertvollen EXP-Boni!"
CLIENT_HELP_INC_000057,Interface,Benutzeroberfläche
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,"Hier werden alle Fenster, die in FLYFF Verwendung finden, erklärt."
CLIENT_HELP_INC_000059,Status Menu,Statusfenster
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.","Du kannst dieses Fenster ein- und ausschalten, indem du 'T' drückst. In diesem Fenster erhälst du den Gesamtstatus deines Charakters. Es enthält deine Gesundheitspunkte (HP), Magiepunkte (MP), Fokuspunkte (FP), Erfahrung (EXP) und Bubble Time (BT)."
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.","Deine Gesamt-HP steigt, wenn du deine STA erhöhst. Je mehr HP du hast, desto länger wirst du leben. MP und FP sind für Fähigkeiten notwendig. Deine Gesamt-MP erhöht sich, wenn du deine INT erhöhst, während sich deine Gesamt-FP erhöhen, wenn du deine STA erhöhst."
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,"EXP zeigt die Menge an Erfahrung, die zum Aufsteigen erforderlich ist. EXP wird durch das Jagen von Monstern und das Abschließen von Quests gewonnen. Bubble Time ist ein spezieller Buff, der dir Bonus-EXP gibt und Teil des Gildenhauses ist. Dies wird in diesem Abschnitt des Hilfemenüs erklärt."
CLIENT_HELP_INC_000063,Character Menu,Charakter Fenster
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.","Dieses Menü kann mit 'H' ein- und ausgeschaltet werden. Es zeigt wichtige Informationen über den Charakter an. Der Basisabschnitt zeigt grundlegende Informationen wie Charaktername, Job, Stufe und weiteres an. Der Detailabschnitt zeigt den Charakterstatus entsprechend der aktuell verwendeten Ausrüstung und Stufe an und PVP/PK zeigt deine PVP-Informationen."
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.",Wenn du im Level aufsteigst erhältst du Statuspunkte. Diese kannst du in diesem Menü verteilen. Statuspunkte verstärken deine Grundfertigkeiten.
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.","ATK stellt deine Angriffskraft dar und entspricht dem Schaden, den du dem Feind zufügen kannst. DEF stellt deine Verteidigung dar und ist der Schaden, den du durch einen Angriff eines Feindes absorbieren kannst. Kritische Trefferrate bedeutet, wie hoch deine Chance für einen kritischen Angriff ist und Angriffstempo zeigt an, wie schnell dein Charakter angreift."
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.","STR beeinflusst die Angriffskraft aller Nahkampfwaffen. STA beeinflusst die Verteidigung, zusätzliche HP, zusätzliche FP und HP/FP-Wiederherstellung. DEX beeinflusst die Angriffsgeschwindigkeit, das Ausweichen, das Blocken, die kritische Trefferrate und die Angriffskraft des Bogens. INT wirkt sich auf maximale MP, MP-Wiederherstellung, Zauberschaden und Magieverteidigung aus."
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,"Der Reiter ""Ruhm/Meister"" zeigt alle von dir erreichten Titel an. Wähle einen aus und zeige der Bevölkerung Madrigals, was du erreicht hast!"
CLIENT_HELP_INC_000069,Chat Menu,Chat Fenster
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.","Drücke die Eingabetaste, um den Chat aufzurufen und gib dann etwas ein. Chat, Flüstern, Schreien, Party und Gildenchats sind möglich. Du kannst auf die Schaltfläche System klicken, um alle angezeigten Systemmeldungen zu sehen."
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.","Wenn du eine Nachricht auf die Schnellzugriffsleiste kopieren willst, schreibe zunächst die Nachricht in den Chat, schicke sie nicht ab und ziehe das Ballon-Symbol links neben der Eingabezeile auf die Schnellzugriffsleiste."
CLIENT_HELP_INC_000072,Navigator,Karte
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,Drücke 'N' um dieses Menü Ein-/Auszublenden. Dieser Navigator ist eine kleine Karte (Minimap) in der oberen rechten Ecke deines Bildschirms.
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.","NPCs erscheinen als lila Punkte auf Karte, während andere Spieler als weiße Punkte erscheinen. NPC Shops werden mit einem Symbol angezeigt, das angibt, um welche Art Shop es sich handelt. Wenn du eine Quest abgibst, suche nach einem gelben und schwarzen Punkt. Gelbe und orange Punkte zeigen feindliche Mobs an. Wenn du mit der Maus über einen Punkt rollst, wird dir der Name des Ziels angezeigt."
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,"Es gibt ein paar Tasten auf der Minimap um besser zu navigieren. Mit den + und - Symbolen kannst du die Ansicht der Minimap rein- und rauszoomen. Mit der Auswahlliste kannst du filtern, was auf deiner Mini-Karte erscheint."
CLIENT_HELP_INC_000076,Skill Menu,Skill Fenster
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,"Dieses Menü kann mit der Taste 'K' ein- und ausgeblendet werden. Es zeigt die Fähigkeiten und den Fähigkeitenbaum deines Charakters an. Du kannst Fähigkeiten verbessern, wenn du die notwendigen Voraussetzungen hast."
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.","Um Fähigkeiten zu benutzen, ziehe die Fähigkeit auf deine Schnellleiste in der unteren Bildschirmmitte und verwende F1 – F9 um diese dann zu benutzen. Alternativ ziehe die Fähigkeit im Skill-Fenster auf den Action-Slot unten rechts auf dem Bildschirm und drücke dann 'C', um alle Fähigkeiten in dem Action-Slot hintereinander zu aktivieren."
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.","Fähigkeitspunkte werden benötigt um deine Skills zu verbessern. Mit jedem Levelaufstieg erhälst du Fähigkeitspunkte. Wähle die Fähigkeit aus und drücke auf das + Symbol um Fähigkeitspunkte zu verwenden, dass - Symbol um verteilte Fähigkeitspunkte zu entfernen ( Das gilt nur für Punkte die du grade eben verteilt hast). Um die verteilten Fähigkeitspunkte zu speichern, drücke auf Bestätigen."
CLIENT_HELP_INC_000080,Inventory,Inventar
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.","In deinem Inventar befinden sich deine Ausrüstung und alle Gegenstände, die du bei dir trägst. Du kannst Waffen, Rüstungen, Gegenstände, Penya und generell alles, was nicht an dein Inventar gebunden ist in der Bank einlagern. Dein Inventar öffnest du mit 'I'."
CLIENT_HELP_INC_000082,Messenger Menu,Messenger
CLIENT_HELP_INC_000083,"You can talk to friends and guild mates as well as check their current connection status. It will be updated as you add friends and guild members. To add your friend, hold down ALT and left click the character, then select ‘add to my list’ or click the + icon located below the messenger window. Your Guild list will automatically update as players come and go. There is also a Tab to check you Mentor Pupil Status but that system is outlined later in the Help Guide.","Du kannst mit Freunden und Gildenmitgliedern sprechen und ihren aktuellen Verbindungsstatus einsehen. Dieser wird aktualisiert, sobald ihr Freunde und Gildenmitglieder hinzufügt. Um einen Freund hinzuzufügen, linksklicke den anderen Charakter und wähle dann ""Meiner Liste hinzufügen"" oder klicke auf das + Symbol unterhalb des Messenger-Fensters. Eure Gildenliste wird automatisch aktualisiert, wenn Spieler kommen und gehen. Es gibt auch eine Registerkarte, mit der du den Status eines Mentor-Schülers überprüfen kannst, aber dieses System wird später in der Hilfe beschrieben."
CLIENT_HELP_INC_000084,Quest Menu,Quest Fenster
CLIENT_HELP_INC_000085,"By pressing the Q Button, you can check the progress of your current quests and other valuable information about your quests. This Menu is divided into tabs to better help you organize your quests. If you select a quest from the list it will be added to your on screen display to help you better track your progress quickly.","Wenn du die 'Q' drückst, kannst du den Fortschritt deiner aktuellen Aufgaben & weitere hilfreiche Informationen zu Quests sehen. Dieses Menü ist in Kategorien zur besseren Organisation unterteilt. Wenn du eine Aufgabe aus der Liste auswählst, wird sie deinem Bildschirm hinzugefügt um deinen Fortschritt besser verfolgen zu können."
CLIENT_HELP_INC_000086,Emotes Menu,Bewegungen
CLIENT_HELP_INC_000087,This window displays emoticons and emotes that you can use to express yourself.,Dieses Fenster zeigt dir Emotes und Bewegungsaktionen. Du kannst diese ebenfalls in die Schnellstartleiste ziehen.
CLIENT_HELP_INC_000088,You can open this Menu by pressing O. You can left click the icon to use it instantly or drag it the shortcut window and use it later.,"Du kannst dieses Menü mit der Taste 'O' öffnen. Linksklicke auf das Symbol um es direkt zu benutzen, oder ziehe es auf die Schnellzugriffsleiste für später."
CLIENT_HELP_INC_000089,,
CLIENT_HELP_INC_000090,Party Menu,Party Fenster
CLIENT_HELP_INC_000091,"This window manages your party. There are basic parties and advanced parties. Basic parties are groups that you share exp and items with, while an advanced party uses various party skills. When a basic party reaches level 10 you can change it to an advanced party and use party skills.","Hier kannst du die Partyinformationen einsehen wie Charaktername, Klasse und Level der Partymitglieder. Mit einer erweiterten Party kann man Partyskills anwenden. Die einfache Party kann ab Partylevel 10 in eine erweiterte Party umgewandelt werden."
CLIENT_HELP_INC_000092,Guild Menu,Gildenmenü
CLIENT_HELP_INC_000093,"A Guild is a bigger community than a party and anyone level 40 or higher can create one. You have to complete the quest from NPC Helena to make a guild. The Info tab shows general information and notices, the member tab allows you to manage guild members, the title tab shows titles and allows you to pay members, and the duel tab shows info on your guild duels.","Die Gilde ist eine größere Gemeinschaft, als eine Party. Wenn man Level 40 erreicht und die Gildenquest bei Helena in Saint Morning abgeschlossen hat, kann man eine Gilde erstellen. Der Info Tab zeigt allgemeine Informationen und Notizen, der Mitglieder Tab erlaubt es dir die Gilden Mitglieder zu verwalten, der Titel Tab zeigt dir Titel und erlaubt es dir Zahlungen an die Mitglieder zu tätigen, der Duell Tab zeigt die Informationen deiner Gildenduelle."
CLIENT_HELP_INC_000094,Options Tab,Optionen
CLIENT_HELP_INC_000095,This window configures the basic details and options for the Game and can be found in the Start Tab. There are many settings here and they have been separated into two Tabs: Video and Game / Audio.,"Dieses Fenster konfiguriert die grundlegenden Details und Optionen für das Spiel und befindet sich auf der Registerkarte ""Start"". Hier gibt es viele Einstellungen, die in zwei Registerkarten unterteilt sind: Grafik und Audio."
CLIENT_HELP_INC_000096,Video,Grafik
CLIENT_HELP_INC_000097,This window is for video settings. If you set the options to their highest settings you may encounter some additional lag. You will also see other settings for various visual elements.,"Dieses Fenster ist für Grafikeinstellungen. Wenn du die Optionen auf die höchsten Einstellungen setzt, kann es zu einer zusätzlichen Verzögerung kommen. Du siehst außerdem noch andere Einstellungen für verschiedene visuelle Elemente."
CLIENT_HELP_INC_000098,Game / Audio,Spiel / Audio
CLIENT_HELP_INC_000099,"From this tab you can allow or block Trades, Whispers, Friend Requests, Duel Requests, Party Requests, along with numerous other options. You can also control the audio levels and Battle Music.","In diesem Fenster kannst du Handel-, Flüster-, Freundschafts-, Duell- und Partyanfragen sowie zahlreiche andere Optionen zulassen oder blockieren. Du kannst auch die Audiopegel und die Kampfmusik steuern."
CLIENT_HELP_INC_000100,Helper Tab,Helfer Tab
CLIENT_HELP_INC_000101,Selecting the Help Tab from the Start Menu will open various help texts. You can find all forms of helpful things in this area.,"Der Helfer-Abschnitt im Startmenü zeigt dir verschiedene Kategorien an, die dir Hilfestellungen geben. Du kannst dort viele hilfreiche Sachen finden."
CLIENT_HELP_INC_000102,Help,Hilfe
CLIENT_HELP_INC_000103,This selection includes the Helper Tree you are currently looking at. There are numerous topics here that are described in detail to help give you a better understanding of the game.,"Diese Auswahl enthält den Helfer Baum, den du grade siehst. Hier sind verschiedenste Themen bis ins Detail beschrieben um dir ein besseres Spielverständnis zu vermitteln."
CLIENT_HELP_INC_000104,Tips,Tipps
CLIENT_HELP_INC_000105,This selection contains tips that help with game play and other things that are easily overlooked.,"Diese Auswahl enthält Tipps, die dir im Spielfluss helfen. Außerdem werden hier Dinge erwähnt die man leicht übersieht."
CLIENT_HELP_INC_000106,FAQ,FAQ
CLIENT_HELP_INC_000107,This is the FAQ window. When you have questions you should start here as there are numerous answers to various questions.,"Dies ist das FAQ-Fenster. Wenn du Fragen hast, schau zunächst hier, da es bereits zahlreiche Antworten auf verschiedene Fragen gibt."
CLIENT_HELP_INC_000108,Information Tab,Informationen
CLIENT_HELP_INC_000109,This tab will give you access to the In-Game notice. Various information and major news will be listed here from time to time. This notice is also displayed by default when the game launches.,Dieses Fenster gibt dir Zugang zu den Mitteilungen im Spiel. Verschiedene Informationen und wichtige Neuigkeiten werden hier mit der Zeit aufgelistet. Dieser Hinweis wird standardmäßig beim Start des Spiels angezeigt.
CLIENT_HELP_INC_000110,Revive Menu,Wiederbelebung
CLIENT_HELP_INC_000111,"This window opens when your HP reaches 0. There are three options, 'Lodestar' which allows you to revive from the nearest town. If you have a 'Scroll of Resurrection' you can revive from the spot with the 'Original Place' option. You can also visit the Cash item shop through this menu.","Dieses Fenster öffnet sich, wenn deine HP auf 0 gesunken sind. Du hast nun die Auswahl zwischen Lodestar, welches dich in der nächstgelegenen Stadt wiederbelebt, oder der vor Ort Wiederbelebung durch eine Scroll of Resurrection. Solltest du sie nicht in deinem Inventar haben, kannst du sie auch jederzeit im Cash Shop kaufen."
CLIENT_HELP_INC_000112,Trade Menu,Handelsmenü
