Key,English,Polish
CLIENT_HELP_INC_000036,Magic Attack,Atak Magiczny
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,"Różdżki mają wyjątkową zdolność wystrzeliwania naładowanego magicznego ataku. Zrób to, przytrzymując prawy przycisk myszy po wybraniu celu. Zwolnij przycisk, aby rozpocząć atak."
CLIENT_HELP_INC_000038,Equipping items,Nałożenie Ekwipunku
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.","Aby nałożyć ekwipunek, otwórz swój ekwipunek, a następnie kliknij dwukrotnie przedmiot, który chcesz nałożyć. Automatycznie zastąpi przedmiot, który aktualnie nosiłeś w tym slocie. Kliknij dwukrotnie na nałożony przedmiot, aby go zdjąć."
CLIENT_HELP_INC_000040,Using Items,Używanie Przedmiotów
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,"Możesz użyć przedmiotu, klikając go dwukrotnie. Możesz również umieścić przedmioty w swoich dodatkowych plecakach, po prostu je otwierając, a następnie przeciągając przedmiot. Przedmiot wypadnie na ziemię, jeśli umieścisz go poza ekwipunkiem."
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,"Możesz umieścić przedmioty na pasku, znajdującym się u dołu ekranu. Można go użyć natychmiast za pomocą odpowiedniego klawisza skrótu lub klikając myszą. Kliknij przedmiot prawym przyciskiem myszy, aby go usunąć z paska."
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,Czat
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.","Naciśnięcie klawisza Enter spowoduje włączenie wyświetlania Menu Czatu, jeśli z jakiegoś powodu zostało ono zamknięte lub ukryte. Gdy Menu Czatu jest otwarte, wystarczy raz nacisnąć Enter, aby przełączyć funkcję pisania na czacie. Po wpisaniu wiadomości po prostu naciśnij Enter ponownie, aby wysłać wiadomość. Zobaczysz również przyciski Szeptu, Krzyku, Drużyny i Gildii. Te przyciski będą filtrować Twoją wiadomość bezpośrednio do odpowiednich grup. Dostępne są również opcje filtrowania przychodzących czatów i przeglądania wiadomości systemowych."
CLIENT_HELP_INC_000046,NPC Trading,Handel z NPC
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.","Aby handlować z NPC, kliknij lewym przyciskiem NPC i wybierz Handel."
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,"Możesz kupić wybrany przedmiot, przeciągając go do swojego ekwipunku. Cena przedmiotu zostanie wyświetlona, ​​a jeśli ją zaakceptujesz, pojawi się okno z potwierdzeniem. Zaakceptuj, aby zakończyć transakcję."
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.","Jeśli próbujesz sprzedać przedmioty, po prostu przeciągnij przedmiot, który chcesz sprzedać z ekwipunku, do okna handlu z NPC."
CLIENT_HELP_INC_000050,Player Trading,Handel z Graczem
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.","Jeśli chcesz handlować z innym graczem, możesz przytrzymać klawisz ALT i kliknąć lewym przyciskiem na gracza lub po prostu kliknąć prawym przyciskiem na gracza . Pojawi się menu, wybierz Handel i poczekaj, aż inny gracz zatwierdzi wymianę."
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.","Po otwarciu okna handlu możesz przeciągnąć do niego przedmioty lub Penya. Upewnij się, że umieściłeś właściwe przedmioty lub kwotę, zanim klikniesz OK i AKCEPTUJ. Nigdy nie pozwól nikomu POŻYCZAĆ żadnych przedmiotów, ponieważ mogą nie zwrócić tego, co im pożyczysz. Upewnij się, że otrzymujesz właściwe przedmioty i odpowiednią ilość Penya, zanim przejdziesz do wymiany. Wszystkie transakcje są dokonywane na własne ryzyko, więc zachowaj ostrożność. Jeśli coś zgubisz, otrzymasz niewłaściwy przedmiot lub niewłaściwą kwotę Penya, nie można nic zrobić, aby odzyskać przedmiot. Więc uważaj. Jeśli w dowolnym momencie czujesz się niekomfortowo z transakcją, kliknij przycisk ANULUJ, aby zakończyć transakcję."
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,"Po umieszczeniu przedmiotów w oknie wymiany i wybraniu OK i AKCEPTUJ, wymiana zostanie przeprowadzona, a przedmioty, na które wymieniłeś, znajdą się w twoim ekwipunku. Jeśli twój ekwipunek jest pełny, wymiana zostanie anulowana."
CLIENT_HELP_INC_000054,Quests,Misje
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.","NPC z żółtym „!” nad ich głowami posiadają Misje, które możesz wykonać. Wybierz NPC, a następnie wybierz Nowa Misja. Spowoduje to wyświetlenie wszystkich dostępnych Misji i poziomu wymaganego do przyjęcia zadania."
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,"Ukończ wiele Misji, ile zdołasz, ponieważ dadzą ci wiele nagród wraz z cennymi bonusami doświadczenia!"
CLIENT_HELP_INC_000057,Interface,Interfejs
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,"W tej sekcji szczegółowo opisano różne menu, które będziesz używać podczas gry."
CLIENT_HELP_INC_000059,Status Menu,Menu Stanu
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.","Możesz włączać lub wyłączać to okno, naciskając przycisk T. To okno pokaże ci ogólny status twojej postaci. Zawiera punkty zdrowia, punkty magii, punkty skupienia, doświadczenie i Bubble Time."
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.","Twoje całkowite PŻ wzrasta wraz ze wzrostem STA, im więcej masz PŻ, tym dłużej będziesz żył. MP jest niezbędny do umiejętności maga i asysty. Twoje łączne MP wzrasta wraz ze wzrostem INT. FP jest niezbędne do umiejętności najemników i akrobatów, twoje całkowite FP wzrasta wraz ze wzrostem STA."
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,"Dośw. odnotowuje niezbędną ilość doświadczenia potrzebną do awansu. Doświadczenie zdobywa się, polując na potwory i wykonując zadania. Bubble Time to specjalny buff, który daje ci dodatkowe doświadczenie. Dostępne poprzez Dom Gildi, wyjaśnione w sekcji menu pomocy."
CLIENT_HELP_INC_000063,Character Menu,Menu Postaci
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.","To menu może być przełączane za pomocą klawisza H. Wyświetla ono ważne informacje o postaci. W sekcji tej wyświetlane są podstawowe informacje, takie jak nazwa postaci, praca, poziom, itd. Sekcja szczegółów wyświetla status postaci zgodnie z aktualnie używanym wyposażeniem i poziomem, a PVP/PK śledzi informacje o PVP."
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.","Kiedy zdobędziesz poziom, otrzymasz punkty statystyk. Mogą one zostać wydane w tym menu. Punkty Stat są zdobywane w miarę zdobywania poziomów, dzięki czemu możesz zwiększyć swoje podstawowe umiejętności."
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.","ATK reprezentuje twoją siłę ataku, czyli ile obrażeń możesz zadać przeciwnikowi. DEF reprezentuje twoją Obronę, jest to ile obrażeń możesz zaabsorbować od ataku wroga. Critical oznacza ile masz szans na wykonanie krytycznego ataku. Speed pokazuje jak szybko twoja postać będzie atakować."
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.","STR wpływa na siłę ataku wszystkich broni do walki wręcz. STA wpływa na obronę, maksymalne HP, maksymalne FP i odbudowę HP/FP. DEX wpływa na szybkość ataku, unik, blokowanie, szansę krytyczną i moc ataku łuku. INT wpływa na maksymalną ilość MP, odbudowę MP, obrażenia od magicznych czarów i obronę przed magią."
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,"Zakładka Sława/Mistrz wyświetli wszystkie tytuły, które zdobyłeś. Wybierz jeden z tych tytułów, aby pokazać światu co potrafisz!"
CLIENT_HELP_INC_000069,Chat Menu,Menu czatu
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.","Naciśnij Enter, aby aktywować to menu, a następnie możesz w nim pisać. Możliwe są czaty typu Chat, Whisper, Shout, Party i Guild. Możesz kliknąć na przycisk System, aby zobaczyć wszystkie wiadomości systemowe, które zostały wyświetlone."
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.","Jeśli chcesz skopiować wiadomość i wkleić ją za pomocą klawisza skrótu, to wpisz wiadomość w oknie czatu, nie naciskaj enter, a następnie przeciągnij znak balonu znajdujący się po lewej stronie okna czatu do swojego szybkiego slotu."
CLIENT_HELP_INC_000072,Navigator,Nawigator
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,Naciśnij przycisk N aby przełączyć to menu. Nawigator to mini-mapa znajdująca się w prawym górnym rogu ekranu.
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.","Postacie niezależne będą wyświetlane jako fioletowe kropki, a inni gracze jako białe kropki. Sklepy NPC będą wyświetlane z ikoną, która wskazuje, jaki to sklep. Jeśli wykonujesz zadanie, szukaj żółtej i czarnej kropki. Żółte i pomarańczowe kropki oznaczają wrogie mobki. Jeśli użyjesz myszki do najechania na kropkę, dowiesz się o nazwie tego konkretnego celu."
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,"Na mini-mapie znajduje się kilka przycisków, które również mogą Ci pomóc. Możesz powiększać i pomniejszać mini-mapę za pomocą ikon + i -. Rozwijana lista pozwala filtrować to, co pojawia się na mini-mapie."
CLIENT_HELP_INC_000076,Skill Menu,Menu umiejętności
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,"Przełącz to menu za pomocą przycisku K. To okno wyświetla umiejętności i drzewko umiejętności Twojej postaci. Możesz ulepszać umiejętności, jeśli masz odpowiednie wymagania."
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.","Aby użyć umiejętności, przeciągnij ją na szybkie sloty w dolnym środku ekranu i użyj F1 - F9. W przeciwnym razie przeciągnij umiejętność w oknie umiejętności na slot akcji w prawym dolnym rogu ekranu i naciśnij C."
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.","Punkty umiejętności są niezbędne do podniesienia poziomu umiejętności. Punkty umiejętności są zdobywane w miarę podnoszenia poziomu. Kliknij na umiejętność, którą chcesz zwiększyć i dostosuj poziom umiejętności za pomocą przycisków +,- i kliknij Finish."
CLIENT_HELP_INC_000080,Inventory,Inwentarz
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.","Twój ekwipunek pokazuje wszystko, co aktualnie masz na wyposażeniu i co masz przy sobie. Możesz przechowywać broń, zbroję, przedmioty, Penya i wszystko co nie jest przypisane w ekwipunku. Zobacz swój ekwipunek wciskając I Button."
CLIENT_HELP_INC_000082,Messenger Menu,Menu wiadomości
CLIENT_HELP_INC_000083,"You can talk to friends and guild mates as well as check their current connection status. It will be updated as you add friends and guild members. To add your friend, hold down ALT and left click the character, then select ‘add to my list’ or click the + icon located below the messenger window. Your Guild list will automatically update as players come and go. There is also a Tab to check you Mentor Pupil Status but that system is outlined later in the Help Guide.","Możesz rozmawiać z przyjaciółmi i gildiami, a także sprawdzić ich aktualny status połączenia. Będzie on aktualizowany w miarę dodawania znajomych i członków gildii. Aby dodać znajomego, przytrzymaj ALT i kliknij lewym przyciskiem myszy na postaci, a następnie wybierz ""dodaj do mojej listy"" lub kliknij ikonę + znajdującą się pod oknem komunikatora. Twoja lista gildii będzie automatycznie aktualizowana w miarę przybywania i odchodzenia graczy. Istnieje również zakładka do sprawdzania statusu ucznia Mentora, ale ten system jest opisany w dalszej części Przewodnika Pomocy"
CLIENT_HELP_INC_000084,Quest Menu,Menu zadań
CLIENT_HELP_INC_000085,"By pressing the Q Button, you can check the progress of your current quests and other valuable information about your quests. This Menu is divided into tabs to better help you organize your quests. If you select a quest from the list it will be added to your on screen display to help you better track your progress quickly.","Naciskając przycisk Q, możesz sprawdzić postępy swoich aktualnych questów i inne cenne informacje na ich temat. To menu jest podzielone na zakładki, aby pomóc Ci lepiej zorganizować Twoje zadania. Jeśli wybierzesz quest z listy, zostanie on dodany do ekranu, abyś mógł szybko śledzić swoje postępy."
CLIENT_HELP_INC_000086,Emotes Menu,Menu ruchu
CLIENT_HELP_INC_000087,This window displays emoticons and emotes that you can use to express yourself.,W tym oknie wyświetlane są emotikony i ikony ruchu.
CLIENT_HELP_INC_000088,You can open this Menu by pressing O. You can left click the icon to use it instantly or drag it the shortcut window and use it later.,"Możesz otworzyć to menu naciskając O. Możesz kliknąć lewym przyciskiem myszy na ikonę, aby użyć jej natychmiast lub przeciągnąć ją do okna skrótów i użyć jej później."
CLIENT_HELP_INC_000089,,
CLIENT_HELP_INC_000090,Party Menu,Menu grupy
CLIENT_HELP_INC_000091,"This window manages your party. There are basic parties and advanced parties. Basic parties are groups that you share exp and items with, while an advanced party uses various party skills. When a basic party reaches level 10 you can change it to an advanced party and use party skills.","To okno zarządza Twoimi grupami. Istnieją podstawowe party i zaawansowane. Podstawowe party to grupy, z którymi dzielisz exp i przedmioty, podczas gdy zaawansowane party używa różnych umiejętności grupowych. Kiedy podstawowe party osiągnie poziom 10, możesz zmienić je na zaawansowane i używać umiejętności grupowych."
CLIENT_HELP_INC_000092,Guild Menu,Menu gildii
CLIENT_HELP_INC_000093,"A Guild is a bigger community than a party and anyone level 40 or higher can create one. You have to complete the quest from NPC Helena to make a guild. The Info tab shows general information and notices, the member tab allows you to manage guild members, the title tab shows titles and allows you to pay members, and the duel tab shows info on your guild duels.","Gildia to większa społeczność niż partia i każdy z levelem 40 lub wyższym może ją stworzyć. Musisz ukończyć zadanie od NPC Heleny, aby stworzyć gildię. Zakładka informacyjna pokazuje generalne informacje i ogłoszenia, zakładka członków pozwala na zarządzanie członkami gildii, zakładka tytułu pokazuje tytuły oraz pozwala na płacenie członkom, natomiast zakładka pojedynki pokazuje informacje o pojedynkach gildii."
CLIENT_HELP_INC_000094,Options Tab,Zakładka Opcji
CLIENT_HELP_INC_000095,This window configures the basic details and options for the Game and can be found in the Start Tab. There are many settings here and they have been separated into two Tabs: Video and Game / Audio.,To okno konfiguruje podstawowe szczegóły i opcje gry i może być znalezione w zakładce startowej. Jest tam wiele ustawień i są one podzielone na dwie zakładki: Wideo i Gra / Audio.
CLIENT_HELP_INC_000096,Video,Wideo
CLIENT_HELP_INC_000097,This window is for video settings. If you set the options to their highest settings you may encounter some additional lag. You will also see other settings for various visual elements.,"To okno jest przeznaczone do ustawień wideo. Jeśli ustawisz opcję na poziom najwyższy, twoja gra może się zacinać. Zobaczysz też inne ustawienia różnych elementów wizualnych."
CLIENT_HELP_INC_000098,Game / Audio,Gra / Audio
CLIENT_HELP_INC_000099,"From this tab you can allow or block Trades, Whispers, Friend Requests, Duel Requests, Party Requests, along with numerous other options. You can also control the audio levels and Battle Music.","From this tab you can allow or block Trades, Whispers, Friend Requests, Duel Requests, Party Requests, along with numerous other options. You can also control the audio levels and Battle Music."
CLIENT_HELP_INC_000100,Helper Tab,Karta Pomocnika
CLIENT_HELP_INC_000101,Selecting the Help Tab from the Start Menu will open various help texts. You can find all forms of helpful things in this area.,Selecting the Help Tab from the Start Menu will open various help texts. You can find all forms of helpful things in this area.
CLIENT_HELP_INC_000102,Help,Pomoc
CLIENT_HELP_INC_000103,This selection includes the Helper Tree you are currently looking at. There are numerous topics here that are described in detail to help give you a better understanding of the game.,This selection includes the Helper Tree you are currently looking at. There are numerous topics here that are described in detail to help give you a better understanding of the game.
CLIENT_HELP_INC_000104,Tips,Wskazówki
CLIENT_HELP_INC_000105,This selection contains tips that help with game play and other things that are easily overlooked.,"Ten wybór zawiera wskazówki, które pomagają w rozgrywce i inne łatwo pomijane rzeczy."
CLIENT_HELP_INC_000106,FAQ,Pytania i Odpowiedzi
CLIENT_HELP_INC_000107,This is the FAQ window. When you have questions you should start here as there are numerous answers to various questions.,This is the FAQ window. When you have questions you should start here as there are numerous answers to various questions.
CLIENT_HELP_INC_000108,Information Tab,Karta Informacji
CLIENT_HELP_INC_000109,This tab will give you access to the In-Game notice. Various information and major news will be listed here from time to time. This notice is also displayed by default when the game launches.,This tab will give you access to the In-Game notice. Various information and major news will be listed here from time to time. This notice is also displayed by default when the game launches.
CLIENT_HELP_INC_000110,Revive Menu,Menu Wskrzeszenia
CLIENT_HELP_INC_000111,"This window opens when your HP reaches 0. There are three options, 'Lodestar' which allows you to revive from the nearest town. If you have a 'Scroll of Resurrection' you can revive from the spot with the 'Original Place' option. You can also visit the Cash item shop through this menu.","This window opens when your HP reaches 0. There are three options, 'Lodestar' which allows you to revive from the nearest town. If you have a 'Scroll of Resurrection' you can revive from the spot with the 'Original Place' option. You can also visit the Cash item shop through this menu."
CLIENT_HELP_INC_000112,Trade Menu,Menu Handlu
CLIENT_HELP_INC_000113,"If you either initiate a Trade or Accept another players Trade Request, you will be presented with this menu. From here you can trade Penya and other various items. The trade will have to be confirmed before it is completed.","If you either initiate a Trade or Accept another players Trade Request, you will be presented with this menu. From here you can trade Penya and other various items. The trade will have to be confirmed before it is completed."
CLIENT_HELP_INC_000114,Bank Menu,Menu Banku
CLIENT_HELP_INC_000115,This Menu will allow you to store various items and Penya without taking up space in your inventory. You can access your bank from the [Public Office] NPC in each major city.,This Menu will allow you to store various items and Penya without taking up space in your inventory. You can access your bank from the [Public Office] NPC in each major city.
CLIENT_HELP_INC_000116,Task Bar,Pasek Zadań
CLIENT_HELP_INC_000117,"This section refers to the bar that runs along the bottom of your screen. It houses your Start Menu, System Slots, and Quick Action Slots.","This section refers to the bar that runs along the bottom of your screen. It houses your Start Menu, System Slots, and Quick Action Slots."
CLIENT_HELP_INC_000118,Start Menu,Menu Start
CLIENT_HELP_INC_000119,This Menu allows the user to access all of the game options and various game play functions. Many of the Hot Keyed Menus can be accessed through the Start Menu.,This Menu allows the user to access all of the game options and various game play functions. Many of the Hot Keyed Menus can be accessed through the Start Menu.
CLIENT_HELP_INC_000120,System Slots,Sloty Systemowe
