Key,English,Thai
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.",พร้อมกับ masquerpets เหล่านี้คุณสามารถมีส่วนร่วมในต่อสู้ PVP ที่เข้มข้นถ้าคุณเลือกเล่น Demian ในการโจมตีผู้เล่นใน Demian คุณต้องกดปุ่ม Ctrl ค้างไว้แล้วเริ่มการโจมตีของคุณ
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,ต่อสู้ระยะประชิด
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.",การโจมตีระยะประชิดทำได้ด้วยอาวุธต่อสู้ระยะประชิดทุกรูปแบบ ซึ่งรวมถึงดาบ ขวาน ไม้พลอง และแม้แต่อาวุธสนับมือ ในการต่อสู้กับศัตรูในการโจมตีระยะประชิด เพียงแค่ติดตั้งอาวุธของคุณ กำหนดเป้าหมายศัตรูของคุณ จากนั้นคลิกที่ศัตรู
CLIENT_HELP_INC_000034,Ranged Attack,การโจมตีระยะไกล
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.",การโจมตีระยะไกลทำได้ด้วย Yo-yos และธนู ในการปะทะกับศัตรูด้วยการโจมตีระยะไกล ให้สวมใส่อาวุธที่เหมาะสม เล็งเป้าหมายไปที่ศัตรู จากนั้นคลิกขวาที่เป้าหมาย   อย่าลืมว่าธนูต้องใช้ลูกธนู
CLIENT_HELP_INC_000036,Magic Attack,การโจมตีด้วยเวทย์มนตร์
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,ไม้กายสิทธิ์มีความสามารถพิเศษในการยิงการโจมตีด้วยเวทย์มนตร์ ทำได้โดยกดปุ่มเมาส์ขวาค้างไว้หลังจากที่คุณได้เลือกเป้าหมายแล้ว ปล่อยปุ่มเพื่อเปิดการโจมตีของคุณ
CLIENT_HELP_INC_000038,Equipping items,การสวมใส่ไอเทม
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.",เมื่อต้องการใช้ไอเทมให้เปิดช่องเก็บของของคุณ แล้วดับเบิลคลิกที่ไอเทมที่คุณต้องการ จากนั้นจะแทนที่รายการที่คุณมีอยู่ในช่องนั้นโดยอัตโนมัติ ดับเบิลคลิกเพื่อติดตั้งอุปกรณ์ดังกล่าว
CLIENT_HELP_INC_000040,Using Items,วิธีใช้ไอเทม
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,คุณสามารถใช้ไอเทมได้โดยดับเบิ้ลคลิก นอกจากนี้คุณยังสามารถวางไอเทมใน inventory ของคุณได้ด้วยการเปิดกล่องแล้วลากไป ไอเทมนี้จะหล่นลงไปที่พื้นถ้าคุณวางไอเทมไว้นอกพื้นที่ inventory ของคุณ
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,คุณสามารถวางรายการในแถบงานด่วนที่อยู่ด้านล่างของหน้าจอ สามารถใช้งานได้ทันทีด้วยปุ่มลัดที่เกี่ยวข้องหรือโดยการคลิกด้วยเมาส์ของคุณ คลิกขวาที่รายการเพื่อลบรายการออกจากช่องด่วน
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,การพูดคุย
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.","การกด Enter จะเป็นการเปิดการแสดงเมนูแชทหากคุณปิดด้วยเหตุผลใดก็ตาม เมื่อเปิดเมนูแชทแล้ว ให้กด Enter หนึ่งครั้งเพื่อสลับฟังก์ชันแชท เมื่อคุณพิมพ์ข้อความของคุณแล้ว ให้กด Enter อีกครั้งเพื่อส่งข้อความของคุณ คุณจะเห็นปุ่มสำหรับ Whisper, Shout, Party และ Guild ปุ่มเหล่านี้จะกรองข้อความของคุณไปยังกลุ่มที่เกี่ยวข้องโดยตรง นอกจากนี้ยังมีตัวเลือกสำหรับการกรองการแชทที่เข้ามาและการดูข้อความของระบบ"
CLIENT_HELP_INC_000046,NPC Trading,ซื้อขายระหว่าง NPC
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.",หากต้องการแลกเปลี่ยนกับ NPC ให้คลิกซ้ายที่ NPC และเลือก Trade
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,คุณสามารถซื้อสินค้าที่คุณต้องการโดยลากลงใน inventory ของคุณ ราคาของไอเทมจะแสดง และหากคุณยอมรับราคาจะมีหน้าต่างยืนยันปรากฏขึ้น ยอมรับหน้าต่างยืนยันเพื่อสิ้นสุดการซื้อสินค้า
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.",หากคุณกำลังพยายามขายสินค้า เพียงลากไอเทมที่คุณต้องการขายจาก inventory ของคุณไปที่หน้าต่างการค้า NPC
CLIENT_HELP_INC_000050,Player Trading,ซื้อขายระหว่างผู้เล่น
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.",หากต้องการซื้อขายกับผู้เล่นอื่นคุณสามารถกดปุ่ม Alt ค้างไว้และคลิกซ้ายที่ตัวละครหรือคลิกขวาที่ผู้เล่น เมนูจะปรากฏขึ้นเลือกการแลกเปลี่ยนและรอให้ผู้เล่นคนอื่นอนุมัติแลกเปลี่ยน
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.",เมื่อหน้าต่างแลกเปลี่ยนเปิดขึ้นคุณสามารถลากไอเทมหรือ จำนวน เงินเข้าไปในหน้าต่างได้ ตรวจสอบให้แน่ใจว่าทุกอย่างเป็นเพียงสิ่งที่คุณต้องการก่อนที่จะคลิกตกลงและยอมรับ อย่าปล่อยให้เกิดความผิดพลาด เพราะอาจไม่ได้คืนเมื่อคุณกดยืนยัน ตรวจสอบให้แน่ใจว่าคุณได้รับสิ่งที่ถูกต้องและจำนวนเงินที่เหมาะสมก่อนที่จะดำเนินการแลกเปลี่ยน การแลกเปลี่ยนทั้งหมดถือเป็นความเสี่ยงของคุณเองดังนั้น โปรดระมัดระวังเป็นอย่างยิ่ง หากคุณสูญเสียบางอย่างไปรับสินค้าที่ไม่ถูกต้องหรือจำนวนเงินที่ไม่ถูกต้องไม่มีอะไรที่สามารถทำได้เพื่อรับสินค้าคืน ดังนั้นจงระวังให้ดี หากคุณรู้สึกไม่เหมาะสมกับการแลกเปลี่ยนครั้งนี้คลิกที่ปุ่มยกเลิกเพื่อยุติการแลกเปลี่ยน
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,เมื่อคุณใส่ไอเทมในหน้าต่างแลกเปลี่ยนและเลือกตกลงและยอมรับ การแลกเปลี่ยนจะสำเร็จและไอเทมที่คุณซื้อขายจะอยู่ใน inventory ของคุณ หากช่องใน inventory ของคุณเต็ม การแลกเปลี่ยนจะถูกยกเลิก
CLIENT_HELP_INC_000054,Quests,เควส
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.","NPC กับสัญลักษณ์ ""!"" สีเหลืองเหนือหัวของพวกเขาหมายถึงมีภารกิจที่คุณสามารถดำเนินการได้ เลือก NPC จากนั้นเลือก New Quest ซึ่งจะแสดงเควสทั้งหมดที่มีอยู่และระดับที่ต้องใช้ในการรับเควส"
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,ทำเควสให้มากที่สุดเท่าที่จะทำได้เนื่องจากจะให้รางวัลมากมายพร้อมกับโบนัส EXP ที่มีค่า!
CLIENT_HELP_INC_000057,Interface,อินเทอร์เฟซ
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,ส่วนนี้จะอธิบายรายละเอียดเมนูต่างๆ ที่คุณจะเห็นและใช้ในขณะที่คุณเล่น
CLIENT_HELP_INC_000059,Status Menu,เมนูสเตตัส
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.","คุณสามารถสลับหน้าต่างนี้ได้โดยกดปุ่ม T หน้าต่างนี้จะให้สถานะโดยรวมของตัวละครของ ประกอบด้วยคะแนน Health Points, Magic Points, Focus Points, Experience และ Bubble Time"
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.",HP ทั้งหมดของคุณเพิ่มขึ้นเมื่อคุณเพิ่ม STA คุณจะมี HP เพิ่มมากขึ้น MP เป็นสิ่งจำเป็นสำหรับนักเวทย์และช่วยเสริม skills จำนวน MP ทั้งหมดของคุณเพิ่มขึ้นเมื่อเพิ่ม INT FP เป็นสิ่งจำเป็นสำหรับ skills การโจมตีระยะประชิดของทหารรับจ้างค่าพลังโจมตีทั้งหมดของคุณเพิ่มขึ้นเมื่อคุณเพิ่ม STA
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,"EXP ที่ได้รับถึงกำหนดระดับหนึ่ง จะเป็นการเพิ่มเลเวลของตัวละคร EXP ได้รับจากการล่ามอนสเตอร์และจบเควส ,Bubble Time เป็นบัฟพิเศษที่ให้โบนัสพิเศษกับตัวละคร นี่คือส่วนที่เต็มไปด้วย Guild House และอธิบายไว้ในหัวข้อ Help Menu"
CLIENT_HELP_INC_000063,Character Menu,หน้าต่างตัวละคร
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.",เมนูนี้สามารถสลับได้ด้วยปุ่ม H จะแสดงข้อมูลสำคัญเกี่ยวกับตัวละคร ส่วนฐานจะแสดงข้อมูลพื้นฐาน เช่น ชื่อตัวละคร งาน เลเวลและอื่นๆ ส่วนรายละเอียดจะแสดงสถานะตัวละครตามอุปกรณ์และระดับที่ใช้ในปัจจุบัน และ PVP/PK จะติดตามข้อมูล PVP ของคุณ
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.",เมื่อคุณ level up คุณจะได้รับรางวัลคะแนน Stat เมนูเหล่านี้สามารถใช้กับเมนูนี้ได้ คะแนน Stat จะได้รับตามระดับเลเวลของคุณ และคุณสามารถเพิ่มความสามารถพื้นฐานของคุณได้
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.",ATK หมายถึงค่าความเสียหายที่เราโจมตีมอนส์เตอร์ ความรุนแรงขึ้นอยู่กับอาวุธ DEF หมายถึงการป้องกัน ค่าที่ใช้ดูดซับการโจมตีจากศัตรู Critical หมายถึงค่าๆ หนึ่งที่ใช้กำหนดโอกาสในการโจมตีอย่างรุนแรง Attack Speed หมายถึง ความเร็วในการโจมตีปกติ
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.","STR มีผลเพิ่มค่าพลังโจมตี ยกเว้น Wand, และ STA มีผลเพิ่มพลังป้องกัน, ค่า HP สูงสุด , ค่า FP สูงสุด , ค่าเร็วในการฟื้น FP. DEX มีผลเพิ่มความเร็วการโจมตี, ค่าการหลบหลีก, ค่าการบล๊อคการโจมตี, เพิ่มโอกาสการเกิด Critical และเพิ่มพลังโจมตีของอาวุธประเภทธนู. INT มีผลเพิ่ม MAX MP, ความเร็วในการพื้น MP"
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,แท็บ Fame / Master จะแสดงชื่อทั้งหมดที่คุณได้รับ เลือกหนึ่งในชื่อเหล่านี้เพื่อแสดงให้โลกเห็นว่าคุณสามารถทำอะไรได้บ้าง!
CLIENT_HELP_INC_000069,Chat Menu,เมนูสนทนา
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.","กด Enter เพื่อเปิดใช้งานเมนูนี้จากนั้นคุณสามารถพิมพ์ได้ แชท, กระซิบ, ตะโกน, ปาร์ตี้และการแชทเป็นไปได้ คุณสามารถคลิกปุ่ม System เพื่อดูข้อความระบบที่แสดงขึ้น"
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.",ถ้าต้องการคัดลอกข้อความและวางข้อความลงในปุ่มลัด ให้ลากข้อความของท่าน (การกด Enter) มาไว้ที่บริเวณช่องด้านซ้ายของหน้าต่างสนทนา
CLIENT_HELP_INC_000072,Navigator,Mini Map
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,กดปุ่ม N เพื่อสลับเมนูนี้ Mini Map เป็นแผนที่ขนาดเล็กที่อยู่ทางด้านขวาบนของหน้าจอ
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.",NPC จะปรากฏเป็นจุดสีม่วง ขณะที่ผู้เล่นคนอื่นๆ จะปรากฏเป็นจุดสีขาว ร้าน NPC จะปรากฏพร้อมกับไอคอนที่ระบุว่าพวกเขาเป็นร้านค้าใด หากคุณกำลังหันมามองหาจุดสีเหลืองและสีดำ จุดสีเหลืองและสีส้มแสดงถึงศัตรู ถ้าคุณใช้เมาส์เพื่อหมุนจุดจะบอกชื่อของเป้าหมายนั้น
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,มีปุ่มสองสามปุ่มบน Mini-Map เพื่อช่วยคุณเช่นกัน คุณสามารถซูมเข้าและออกแผนที่ขนาดเล็กได้โดยใช้ไอคอน + และ - เมนูแบบเลื่อนลงจะช่วยให้คุณกรองสิ่งที่ปรากฏบน Mini-Map ของคุณได้
CLIENT_HELP_INC_000076,Skill Menu,เมนูสกิล
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,สลับเมนูนี้ด้วยปุ่ม K หน้าต่างนี้จะแสดงทักษะและสกิลของตัวละครของคุณ คุณสามารถอัพเกรดทักษะ Skill ถ้าคุณมีความต้องการที่จำเป็น
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.",หากต้องการใช้ทักษะ ให้ลากทักษะไปที่ช่องด่วนที่อยู่ตรงกลางด้านล่างของหน้าจอแล้วใช้ F1 - F9 มิฉะนั้น ให้ลากทักษะในหน้าต่างทักษะไปที่ช่องการกระทำที่ด้านล่างขวาของหน้าจอแล้วกด C
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.","คุณจำเป็นต้องมีทักษะในการเลื่อนระดับเลเวลทักษะของคุณ คะแนนทักษะจะได้รับตามเลเวลของคุณ คลิกทักษะที่คุณต้องการเพิ่มและปรับระดับเลเวลความสามารถด้วยปุ่ม +, - และคลิกเสร็จสิ้น"
CLIENT_HELP_INC_000080,Inventory,ช่องเก็บของ
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.",inventory ของคุณจะแสดงให้คุณเห็นทุกสิ่งที่คุณมีและทุกสิ่งที่คุณถืออยู่ คุณสามารถเก็บอาวุธ ชุดเกราะ ไอเทม Penya และอะไรก็ได้ที่ไม่ได้ปักหมุดไว้ในช่องเก็บของของคุณ ดู inventory ของคุณโดยกดปุ่ม I
CLIENT_HELP_INC_000082,Messenger Menu,เมนูเมสเซนเจอร์
CLIENT_HELP_INC_000083,"You can talk to friends and guild mates as well as check their current connection status. It will be updated as you add friends and guild members. To add your friend, hold down ALT and left click the character, then select ‘add to my list’ or click the + icon located below the messenger window. Your Guild list will automatically update as players come and go. There is also a Tab to check you Mentor Pupil Status but that system is outlined later in the Help Guide.",คุณสามารถพูดคุยกับเพื่อนและ Guild รวมทั้งตรวจสอบสถานะการเชื่อมต่อปัจจุบันได้ จะมีการอัปเดตเมื่อคุณเพิ่มเพื่อนและสมาชิกกิลด์ ในการเพิ่มเพื่อนให้กด Alt ค้างไว้และคลิกซ้ายที่ตัวอักษรจากนั้นเลือก 'เพิ่มในรายการของฉัน' หรือคลิกไอคอน + ที่อยู่ด้านล่างหน้าต่าง Messenger รายการ Guild ของคุณจะอัปเดตโดยอัตโนมัติเมื่อผู้เล่นเข้ามา นอกจากนี้ยังมีแท็บสำหรับตรวจสอบ Mentor Pupil Status แต่ระบบดังกล่าวจะระบุไว้ในภายหลังในคู่มือช่วยเหลือ
CLIENT_HELP_INC_000084,Quest Menu,เมนูเควส
CLIENT_HELP_INC_000085,"By pressing the Q Button, you can check the progress of your current quests and other valuable information about your quests. This Menu is divided into tabs to better help you organize your quests. If you select a quest from the list it will be added to your on screen display to help you better track your progress quickly.",เมื่อกดปุ่ม Q คุณสามารถตรวจสอบความคืบหน้าของเควสปัจจุบันและข้อมูลที่มีค่าอื่นๆ เกี่ยวกับเควสของคุณได้ เมนูนี้แบ่งเป็นแท็บเพื่อช่วยให้คุณจัดการเควสของคุณได้ดียิ่งขึ้น หากคุณเลือกเควสจากรายการระบบจะเพิ่มการแสดงผลบนหน้าจอเพื่อช่วยติดตามความคืบหน้าของคุณได้อย่างรวดเร็ว
CLIENT_HELP_INC_000086,Emotes Menu,เมนูท่าทาง
CLIENT_HELP_INC_000087,This window displays emoticons and emotes that you can use to express yourself.,หน้าต่างนี้จะแสดง emoticons และ ท่าทาง
CLIENT_HELP_INC_000088,You can open this Menu by pressing O. You can left click the icon to use it instantly or drag it the shortcut window and use it later.,คุณสามารถเปิดใช้งานเมนูนี้โดยคลิกที่ปุ่มลัด 'O' คุณสามารถคลิกซ้ายที่ไอคอนเพื่อใช้ทันทีหรือลากหน้าใส่ช่องคีย์ลัดและใช้งานได้ในภายหลัง
CLIENT_HELP_INC_000089,,
CLIENT_HELP_INC_000090,Party Menu,เมนูปาร์ตี้
CLIENT_HELP_INC_000091,"This window manages your party. There are basic parties and advanced parties. Basic parties are groups that you share exp and items with, while an advanced party uses various party skills. When a basic party reaches level 10 you can change it to an advanced party and use party skills.",หน้าต่างนี้จัดการปาร์ตี้ของคุณ มีปาร์ตี้พื้นฐานและปาร์ตี้ขั้นสูง ปาร์ตี้พื้นฐานคือกลุ่มที่คุณแชร์ประสบการณ์และไอเท็มด้วย ในขณะที่ปาร์ตี้ขั้นสูงใช้ทักษะปาร์ตี้ที่หลากหลาย เมื่อปาร์ตี้พื้นฐานถึงระดับ 10 คุณสามารถเปลี่ยนเป็นปาร์ตี้ขั้นสูงและใช้ทักษะปาร์ตี้ได้
CLIENT_HELP_INC_000092,Guild Menu,เมนู Guild
