Key,English,Portuguese
CLIENT_HELP_INC_000112,Trade Menu,Janela de Negociação
CLIENT_HELP_INC_000113,"If you either initiate a Trade or Accept another players Trade Request, you will be presented with this menu. From here you can trade Penya and other various items. The trade will have to be confirmed before it is completed.","Se você iniciar uma Negociação ou Aceitar a solicitação de negociação de outro jogador, esta janela será aberta para você. A partir daqui, você pode trocar Penyas e outros itens diversos. A negociação terá que ser confirmada antes de ser concluída."
CLIENT_HELP_INC_000114,Bank Menu,Banco
CLIENT_HELP_INC_000115,This Menu will allow you to store various items and Penya without taking up space in your inventory. You can access your bank from the [Public Office] NPC in each major city.,O Banco permitirá que você armazene vários itens e Penyas sem ocupar espaço em seu inventário. Você pode acessar seu banco a partir do NPC [Escritório Público] em cada grande cidade.
CLIENT_HELP_INC_000116,Task Bar,Barra de Tarefas
CLIENT_HELP_INC_000117,"This section refers to the bar that runs along the bottom of your screen. It houses your Start Menu, System Slots, and Quick Action Slots.","Esta seção refere-se à barra que fica na parte inferior da tela. Ele abriga seu Menu Iniciar, Atalhos do Sistema e Action Slot."
CLIENT_HELP_INC_000118,Start Menu,Menu inicial
CLIENT_HELP_INC_000119,This Menu allows the user to access all of the game options and various game play functions. Many of the Hot Keyed Menus can be accessed through the Start Menu.,Este Menu permite que o usuário acesse todas as opções de jogo e várias funções de jogo. Muitos das janelas de teclas de atalho podem ser acessados por meio do menu Iniciar.
CLIENT_HELP_INC_000120,System Slots,Compartimento do sistema
CLIENT_HELP_INC_000121,"This refers to the slots to the right of the Start Menu. These slots are used so that users can quickly access skills, save text strings, or other various tasks they want to repeat.","Este compartimento é colocado à direita do menu Iniciar, para organizar as funções do menu Iniciar usadas frequentemente. Os usuários podem configurar cada compartimento com teclas de atalho como desejarem."
CLIENT_HELP_INC_000122,Hot Keys,Barra de Atalho
CLIENT_HELP_INC_000123,This refers to the nine slots in the middle of the bottom bar labeled F1-F9. These slots are linked to the corresponding Function keys and can be triggered accordingly. Reserve these for your most important funtions!,"Isso se refere aos dez slots personalizáveis da barra de atalhos na parte inferior da sua tela. Esses slots não estão vinculados às teclas de função correspondentes e podem ser personalizadas de acordo com sua preferência, basta acessar as configurações do jogo. Nela você pode colocar habilidades e itens!"
CLIENT_HELP_INC_000124,Action Slot,Action Slot
